,changes,deg_changes,rounded,modulo
0,2.6928296524645416,154.28777403389847,155,155
1,3.5587920747413033,203.9037660472825,205,205
2,1.8945198874133524,108.54799375238498,110,110
3,2.504300873168867,143.48587066350296,145,145
4,3.5188162670609846,201.6133209845736,200,200
5,1.956980984637719,112.1267510070975,110,110
6,1.7208702830423,98.5986043078072,100,100
7,1.612927228510865,92.41392285540546,90,90
8,1.9036938496391993,109.07362306933845,110,110
9,1.5495058513535054,88.78014561338135,90,90
10,-0.23040229139810126,-13.201078887254553,-15,345
11,-2.4620773336528563,-141.06664005313166,-140,220
12,-0.10810090682721007,-6.193725722736084,-5,355
13,4.497225758967052,257.67205550633054,260,260
