,changes,deg_changes,rounded,modulo
0,1.3086988448806243,74.98292046530577,75,75
1,0.42658190237305593,24.441342622637823,25,25
2,-0.43317537317796284,-24.819120672101715,-25,335
3,0.20204265204908023,11.57619124404251,10,10
4,-0.8244449106619813,-47.237213821971736,-45,315
5,0.2926952559103315,16.77020284716356,15,15
6,-1.137304609670215,-65.1627541548768,-65,295
7,-0.7919136369513485,-45.373309136167585,-45,315
8,0.1721138477281171,9.861397070578423,10,10
9,1.1778155889437358,67.48386229119149,65,65
10,0.45349508169024266,25.9833542107914,25,25
11,0.12525678982255384,7.1766854121895385,5,5
12,0.30409168763989625,17.423170286776596,15,15
13,0.7568462583129225,43.36409634159856,45,45
