,changes,deg_changes,rounded,modulo
0,1.747843793500166,100.14407261569491,100,100
1,0.6792623587074134,38.91886633603619,40,40
2,1.4430395652440442,82.68007675887694,85,85
3,2.767475204909111,158.56464914839475,160,160
4,3.981580091736456,228.12773504981007,230,230
5,0.8816045087226281,50.51221754951096,50,50
6,1.6377468635601793,93.83598319278614,95,95
7,1.308544599390388,74.9740828497063,75,75
8,2.157870179399533,123.63685401673104,125,125
9,2.628880672552567,150.62376738077546,150,150
10,-1.0201629521371471,-58.45103157306514,-60,300
11,2.086558144237409,119.5509753734528,120,120
12,0.785987210243738,45.03374989822789,45,45
13,0.27330531303934036,15.659240955655989,15,15
14,0.4445986482228086,25.47362612038849,25,25
15,-0.6046003569716263,-34.64104874657716,-35,325
16,-0.02050379059962215,-1.1747806653783608,0,0
17,2.9172376474179056,167.1454050337193,165,165
18,-1.6467523050305795,-94.35195698169217,-95,265
19,-0.18066826937377467,-10.351529327049958,-10,350
20,0.6033239596298708,34.56791656591286,35,35
21,1.6858088414668209,96.58973168188773,95,95
22,2.790621283973094,159.8908217910371,160,160
