,changes,deg_changes,rounded,modulo
0,0.07387929591132703,4.232971849117158,5,5
1,-0.15170593750186567,-8.692109945932343,-10,350
2,1.1612137975972452,66.53264971468076,65,65
3,0.19998374480450054,11.458224548519185,10,10
4,-0.30014029981883206,-17.196772441410225,-15,345
5,-1.4184324171090423,-81.2701910248881,-80,280
6,-0.403762539763103,-23.133889453908882,-25,335
7,-0.1091884563669136,-6.256037721372492,-5,355
8,-0.48394580393096653,-27.72805207831003,-30,330
9,-0.02888331959316348,-1.6548923110157854,0,0
10,1.8505271351685644,106.02739471959396,105,105
11,-0.8547518532486986,-48.973673722135935,-50,310
12,-0.4981062080252139,-28.53938346911017,-30,330
13,-0.05547689765115926,-3.1785920958906555,-5,355
14,-0.375671075946732,-21.52436713688636,-20,340
15,0.8560092778297322,49.045718843685165,50,50
16,1.537655219774383,88.10115443933319,90,90
17,0.8294402526368214,47.52342583435462,50,50
18,-0.5778711724610788,-33.10957928429634,-35,325
19,1.3270323730493474,76.03335425295782,75,75
20,0.8078673180557744,46.2873877311488,45,45
21,-1.0143393807363914,-58.11736551010875,-60,300
22,-0.059442386405239744,-3.4057978652060585,-5,355
