,changes,deg_changes,rounded,modulo
0,-1.6908553170091443,-96.87887343187884,-95,265
1,5.091818622462814,291.73971711323594,290,290
2,-0.09220617512046844,-5.283024679447017,-5,355
3,0.3119311364902948,17.87233761961312,20,20
4,0.27315095042793214,15.650396629507679,15,15
5,-1.186070050408385,-67.95680809526927,-70,290
6,5.25653355635799,301.1771876482059,300,300
7,-1.7473431965328485,-100.11539052223056,-100,260
8,1.5544044209319072,89.06081297587497,90,90
9,-0.9559927374471653,-54.774349100880784,-55,305
10,1.0349653682103162,59.29914754065433,60,60
11,-0.23361808351465396,-13.385330203324466,-15,345
12,-0.5900706060295664,-33.8085553402209,-35,325
13,0.256804581088536,14.713818655998228,15,15
14,-0.09865745481676158,-5.652655778503053,-5,355
