,changes,deg_changes,rounded,modulo
0,4.063771240393487,232.8369409811903,235,235
1,-0.2437848722616618,-13.967844289729113,-15,345
2,-0.22588883325080467,-12.942476784405523,-15,345
3,-0.9303488720533164,-53.30506384341165,-55,305
4,-0.3716843315194662,-21.295943507206733,-20,340
5,0.6383855843491703,36.57679968520028,35,35
6,0.8119917593720936,46.52370081142327,45,45
7,-1.127508249123787,-64.601464040978,-65,295
8,-1.448457330121733,-82.9904918207627,-85,275
9,-0.9122598915934924,-52.268641607369126,-50,310
10,-0.056859216782632505,-3.257793148064262,-5,355
11,-0.7362817071711838,-42.18583435359599,-40,320
12,-0.009507291099718262,-0.5447276546161476,0,0
13,0.18752620393091668,10.744460033351114,10,10
14,0.7838542319801921,44.91153924593357,45,45
15,-0.33930564409353914,-19.4407813715278,-20,340
16,-1.2325150955713924,-70.61791316240408,-70,290
